Sentence,straightforward,intentional,warm,Additional remarks
Select the 'Email me a link to sign in' option.,,1,,
Find it.,,1,,
You will still buy the car from the dealer or seller.,1,,,
You can simply skip the step or discard the valuation and continue with your order.,1,,,
A lease credit application involves answering some important questions about your earnings and how much you spend each month.,1,,,
"We're always here to help, never to push you into anything.",,,1,
Drive what you love when you lease with Auto Trader.,,,1,
Click here to enrol into Insight Academy find out more about distance selling.,1,,,
Here's a step-by-step guide on how it all works.,1,,,
"Think of us as a big friendly tech giant that's on your side, all the way.",,,1,
"We get how busy life can be, so we're here to help you save time.",,,1,
Tell us if you need any further support.,1,,,
"Then simply look out for our phone call or email, we'll be in touch to secure your deal and get your order moving!",,,1,
Your time matters.,1,,,
"The good news is that you don't have to commit to anything when you get a part exchange valuation, we just give you the information to do whatever you like with.",,,1,
Each lender chooses which one to work with.,1,,,
The first step is finding the car you want.,,1,,
We're with you all the way with as much support as you need.,,,1,
Only franchised trade sellers can sell unregistered cars on Auto Trader.,1,,,
"Of course you can, we understand this can be a daunting process.",,1,,daunting is very negative
For private and Pay as you Go trade sellers all adverts must be of UK-registered vehicles.,1,,,
"If you're selling a truck, plant or farm vehicle, don't worry, your advert will stay in your account until you delete it.",,1,,
It's not a compulsory process.,1,,,
"So don't worry if you change your mind, or if you're having doubts.",,,1,
Welcome to leasing with Auto Trader.,,1,,
Create your perfect lease with confidence.,,1,,
It simply tells you how much your car is worth so you can use the money to help pay for your new car.,,1,,
Now you can reserve your next car online with a £99 fully refundable deposit.,1,,,
"If your car advert has come to an end, we'll look after it in your account for up to 4 weeks.",1,,,
Buy with a friend.,1,,,
Looking at leasing?,,1,,
Let's do this.,,1,,
"Choose your car, choose your deal.",,1,,
"Be quick, the link expires within 10 minutes!",,1,,
This package includes.,1,,,
You can ring them up or chat online to them.,1,,,
"Yes, you're in full control.",,1,,
"art exchange is just a tool to help you work out what your car is worth, so you can use it to pay for your new car.",1,,,
With just £99 fully you can make the car you've found yours.,1,,,
Drive a new car sooner when you lease with Auto Trader.,1,,,
"You've taken the first step, now let Auto Trader help you move forward with leasing.",,1,,
"If you would like to rebook your advert, you can do this in your account under 'Vehicles you're selling'.",1,,,
Unfortunately only franchise dealers can sell unregistered cars on Auto Trader.,1,,,
Select the option for 'Forgot your password?',1,,,
We're here to guide you through it all.,,1,,
Let's do this together.,,,1,
To get you behind the wheel of your new car without any fuss or faff.,,1,,
Start leasing with Auto Trader.,,1,,
"Answer a few questions about your income and spending to apply for leasing finance, this will include a hard credit check, but that's normal for credit applications.",,1,,
"You can walk away at any time, even after you've got a valuation, no commitment needed.",,,1,
There are lots of nifty tools so that you can do more online.,,,1,
"Once you've completed your application, we'll reach out to help you sort the finishing touches to your order.",,,1,
"You will still be buying the car from the seller, not Auto Trader.",1,,,
"We offer an accurate valuation, part-exchange and finance.",1,,,
Reserve it.,,1,,
"Cars or bikes under £1,000 are free to advertised on Auto Trader",1,,,
"Once you've found your perfect car, all you need to do is decide how long you'd like to keep it and how many miles you think you'll drive each year.",1,,,
But you can save time by doing more online.,1,,,
Thanks for exploring leasing with Auto Trader.,,,1,
"Hi, it's lovely to have you leasing with Auto Trader
New to leasing with Auto Trader?",,,1,
Can I change my mind?,,1,,
Our support team are here to help you get this done.,,,1,
Do as much online or in person as you like.,,1,,
We refund the cost of the reservation back to the customer.,1,,,
For private and Pay as you Go trade sellers all adverts must be of UK-registered vehicles.,1,,,
We have a team to support you if you find anything difficult or confusing.,,,1,
But you can save time by doing more online.,,1,,
Apply for credit with help from the experts.,,1,,
"Once you have reserved your car, you have various options.",,1,,
"First, find that perfect car.",1,,,
"When you've found it, we can get you behind the wheel.",,1,,
Select the 'Email me a link to sign in' option.,1,,,
"Then you can decide how long you want it for, and how many miles you need to drive each year.",,1,,
They only have one job.,1,,,
You have contacted us about your credit score.,1,,,
Only franchised trade sellers can sell unregistered cars on Auto Trader.,1,,,
Our payment partner 'Stripe' will manage all reservation payments.,1,,,
Make sure your vehicle is UK registered before you sell on Auto Trader.,1,,,
We are still looking into this for you and will keep you updated in the mean time.,1,,,
Click here to learn more about Dealer Builder and register your interest.,1,,,
Consumers choose to complete as much or as little of the buying process online.,1,,,
"Go to your account, type in your account email address and sign in.",1,,,
Great choice.,,,1,
Boom!,,,1,
it's horn tootin' time.,,,1,
You can also sign in to your account without entering a password.,1,,,
You will still be buying the car from the seller.,1,,,
With just £99 fully you can make the car you've found yours.,1,,,
Deal Builder allows retailers to meet consumer needs.,1,,,
We'll then contact you to secure your deal and confirm your order.,1,,,
"If you're selling a truck, plant or farm vehicle your advert will stay in your account until you delete it.",1,,,
We'll show you options for monthly payments and your initial payment so you can make your choice.,1,,,
"The process will include a hard credit check, which is visible to other companies on your credit file.",1,,,
Buy it.,1,,,
They look at similar information when assessing your score.,1,,,
We'll show you your payment options and help you choose the right way for you.,1,,,
We'll send you a link to your email to create a new password.,,1,,
"Based on your choices, we'll show you what you can expect your monthly payments and your initial payment to be.",,1,,
They use their own methods for working out the final score.,1,,,
We are still looking into this for you and will keep you updated.,1,,,
We are sorry about this!,,1,,
Credit scores are different from one credit reference agency to another.,1,,,
"Then you just need to tell us how long you'd like to drive it for, and how many miles you think you'll drive each year.",1,,,
You can call us or chat online.,1,,,
"Part exchange gives you the info you need to take the next step if you want to, or walk away if you prefer.",1,,,
"Hello, you recently reached out to us about...
Don't worry, we haven't forgotten about you.",,,1,
"We'll ask you a few simple questions about your income and spending, this will include a hard credit check, but that's nothing to worry about.",1,,,
"You recently got in touch about...
We haven't forgotten about this.",1,,,
"Your car, your way.",1,,,
"However you want to get this deal over the line, we can help.",,,1,
"If you see a suspicious advert, head to 'Report Advert' underneath the description.",1,,,
"It's easy to reset your password, just follow these easy instructions:
Go to your account, type in your account email address and sign in
Did you know you can also sign in to your account without entering a password!",1,,,
But this saves the car for you.,1,,,
"If you're not happy with your price, or you simply decide not to go ahead, that's absolutely fine.",,,1,
"Be quick, the link expires within 10 minutes!",,1,,
Got an unregistered car?,1,,,
You can rebook your advert in your account under 'Vehicles you're selling'.,1,,,
If you see a suspicious advert do let us know by choosing 'Report Advert' underneath the description.,1,,,
"If your advert has come to an end, we'll store it in your account for up to 4 weeks.",1,,,
Our expert support team are here to help you get this done.,,,1,
"You are not making a commitment if you get a part exchange valuation, so if you decide not to go ahead, that's OK.",,1,,
You can call us or chat online.,1,,,
